     amount_avg     | max_total 
--------------------+-----------
 5.4998438703499386 |     66460
(1 row)

 menu_item_id |       avg_total       
--------------+-----------------------
            1 | 2252.4819734345351044
            2 | 2538.6930894308943089
            3 | 1588.6266891891891892
            4 | 2145.8548057259713701
            5 | 1558.5219780219780220
            6 | 1659.2372188139059305
            7 | 2148.2685589519650655
            8 | 1576.6888045540796964
            9 | 3513.7237354085603113
           10 | 3501.6991341991341991
           11 | 1347.2541176470588235
           12 | 2394.4580291970802920
           13 | 1512.8049645390070922
           14 | 1337.9712230215827338
           15 | 1556.9201520912547529
           16 | 1466.1878453038674033
           17 | 1539.5352622061482821
           18 | 1609.8908765652951699
           19 | 2144.4195298372513562
           20 | 2210.7495590828924162
           21 | 1858.3309090909090909
           22 | 2579.8644763860369610
           23 | 1645.5409252669039146
           24 | 1987.3083778966131907
           25 | 1625.5261324041811847
           26 | 2405.3188405797101449
           27 | 1454.3106960950764007
           28 | 1724.0248667850799290
           29 | 2419.2628571428571429
           30 | 2222.1806797853309481
           31 | 2257.5199240986717268
           32 | 2372.8987603305785124
           33 | 3080.6985294117647059
           34 | 2730.1238095238095238
           35 | 4402.2784090909090909
           36 | 7412.2424242424242424
           37 | 1637.7330960854092527
           38 | 1616.7969052224371373
           39 | 1793.2162790697674419
           40 | 1779.3167587476979742
           41 |  490.7419354838709677
           42 |  737.8800000000000000
           43 |  843.3975694444444444
           44 | 1035.2163265306122449
           45 | 1173.8087431693989071
           46 | 3084.7786116322701689
           47 | 1289.2449392712550607
           48 | 1306.4651162790697674
           49 | 1613.4125736738703340
           50 | 1329.8087431693989071
           51 | 1923.6960132890365449
           52 | 2032.4979253112033195
           53 | 1974.9645833333333333
           54 |    25579.833655705996
           55 | 2708.0889830508474576
           56 | 1819.2437619961612284
           57 | 1565.6287425149700599
           58 | 2357.3176895306859206
           59 | 1992.4552529182879377
           60 | 2066.3584558823529412
           61 | 2347.0783972125435540
           62 | 2011.0907473309608541
           63 | 3135.8638297872340426
           64 | 7223.7569060773480663
           65 | 1553.5765124555160142
           66 | 2984.7553956834532374
           67 | 2051.9097560975609756
           68 | 1496.7750472589792060
           69 | 1664.8829787234042553
           70 | 1826.9203539823008850
           71 | 1822.2871452420701169
           72 | 1602.8771626297577855
           73 | 1567.1394849785407725
           74 | 1917.0750000000000000
           75 | 2599.7847358121330724
           76 | 3007.4106090373280943
           77 | 1477.1958568738229755
           78 | 1516.5009009009009009
           79 | 1409.9979079497907950
           80 | 1499.9539594843462247
           81 | 1093.6821305841924399
           82 | 1687.8021390374331551
           83 | 3087.8387681159420290
           84 | 1897.1928571428571429
           85 | 2041.6519114688128773
           86 | 2328.5828220858895706
           87 | 2509.0604914933837429
           88 | 1446.2886405959031657
           89 | 1629.9301470588235294
           90 | 1595.1496881496881497
           91 | 1499.3216630196936543
(91 rows)

