 order_id |         bar_address          | total  
----------+------------------------------+--------
        8 | Карельский пер., д.18        |  51001
       10 | ул. Капитанская, д.61        |  71139
       70 | ул. Капитанская, д.61        |  76505
       80 | ул. Хрустальная, д.25        |  70245
       89 | ул. Енотаевская, д.88        |  54149
      140 | ул. Хрустальная, д.25        |  59921
      150 | ул. Фучика, д.52             |  56989
      176 | ул. Безымянная, д.56         |  69509
      181 | ул. Фучика, д.52             |  63066
      222 | ул. Капитанская, д.61        |  51447
      227 | ул. Капитанская, д.61        |  51960
      234 | Карельский пер., д.18        |  82792
      262 | ул. Балканская, д.81         |  70370
      281 | Карельский пер., д.18        |  57132
      294 | Южное шоссе, д.2             |  59014
      297 | ул. Ржевская, д.81           |  56909
      306 | ул. Балканская, д.81         |  69157
      307 | ул. Безымянная, д.56         |  58097
      327 | ул. Черниговская, д.39       |  69856
      386 | ул. Толстого Льва, д.20      |  62975
      411 | пр. Энгельса, д.35           |  60063
      522 | ул. Рузовская, д.77          |  91381
      568 | Карельский пер., д.18        |  64278
      587 | ул. Толстого Льва, д.20      |  85063
      617 | Карельский пер., д.18        |  64724
      637 | ул. Капитанская, д.61        | 100026
      689 | Верхний 4 пр-д(Парнас), д.37 |  54183
      691 | ул. Толстого Льва, д.20      |  52805
      704 | ул. Свеаборгская, д.79       |  56589
      727 | ул. Енотаевская, д.88        |  55641
      733 | Верхний 4 пр-д(Парнас), д.37 |  67573
      739 | ул. Ржевская, д.81           |  76118
      749 | пр. Энгельса, д.35           |  66690
      761 | ул. Зеленина Большая, д.63   |  68680
      797 | ул. Безымянная, д.56         |  70458
      826 | ул. Зеленина Большая, д.63   |  50201
      872 | Верхний 4 пр-д(Парнас), д.37 |  54120
      894 | Южное шоссе, д.2             |  51292
      924 | Карельский пер., д.18        |  50117
      926 | ул. Хрустальная, д.25        |  66451
      938 | ул. Десятинная Большая, д.97 |  58215
      943 | ул. Хрустальная, д.25        |  80678
      953 | ул. Черниговская, д.39       |  70818
      971 | ул. Енотаевская, д.88        |  65968
      983 | ул. Хрустальная, д.25        |  52175
      989 | ул. Ржевская, д.81           |  91055
      997 | ул. Балканская, д.81         |  83895
     1003 | ул. Десятинная Большая, д.97 |  50053
     1013 | ул. Ржевская, д.81           |  75134
     1035 | пр. Энгельса, д.35           |  72986
     1044 | ул. Хрустальная, д.25        |  66929
     1073 | ул. Ракитовская, д.21        |  52644
     1095 | Театральная пл., д.54        |  50815
     1097 | ул. Фучика, д.52             |  50982
     1121 | ул. Толстого Льва, д.20      |  77884
     1129 | ул. Капитанская, д.61        |  72070
     1188 | ул. Енотаевская, д.88        |  89908
     1227 | ул. Фучика, д.52             |  54027
     1250 | ул. Ракитовская, д.21        |  63375
     1260 | ул. Ржевская, д.81           |  70526
     1284 | ул. Ржевская, д.81           |  87748
     1288 | пр. Энгельса, д.35           |  69360
     1336 | ул. Черниговская, д.39       |  57033
     1339 | Карельский пер., д.18        |  85608
     1361 | ул. Ржевская, д.81           |  72593
     1365 | ул. Толстого Льва, д.20      |  50756
     1368 | пр. Энгельса, д.35           |  68866
     1369 | ул. Ржевская, д.81           |  51279
     1373 | ул. Хрустальная, д.25        |  54911
     1386 | ул. Безымянная, д.56         |  77001
     1390 | Карельский пер., д.18        |  80039
